domain,competition,bucket,rank,path,suffix,sha256,size_bytes,code_chars,markdown_chars,code_lines,code_cells,markdown_cells,good_hits,bad_hits,score,quality,reasons
CV,dogs-vs-cats-redux-kernels-edition,1st,4,CV/dogs-vs-cats-redux-kernels-edition/rank4_1st/cats-vs-dogs-with-env2l-and-sklearn-svc.ipynb,.ipynb,2a01e225177f2a324b9f5ca36b1d6e5e17d1c49822c7b8538144a62843a88e8f,12533,2515,0,45,26,0,6,1,52,strong,bad_keyword
CV,dogs-vs-cats-redux-kernels-edition,70pct,917,CV/dogs-vs-cats-redux-kernels-edition/rank917_70pct/dogvscat.py,.py,f0825030c4865506e21ad223914048c696b0a4f0d3d670f9e679841163b6c3fd,6101,5926,0,141,1,0,4,0,48,strong,
CV,painter-by-numbers,70pct,28,CV/painter-by-numbers/rank28_70pct/frank-first-test-1.ipynb,.ipynb,2ac924e251310461af9d3f16e4493a102d397ff67c17ec896f8c4894e9cb8e39,1305,834,0,6,3,0,0,0,-22,reject,too_short
CV,severstal-steel-defect-detection,10pct,244,CV/severstal-steel-defect-detection/rank244_10pct/severstal-mlcomp-catalyst-infer-0-90672.ipynb,.ipynb,024110466f8d53f4c3a36630c640262a7cf00fa008c94781a2a4b0f0b1a7c200,16220,4311,3639,109,11,15,3,0,55,strong,
CV,severstal-steel-defect-detection,1st,1,CV/severstal-steel-defect-detection/rank1_1st/fork-of-efficientb5-mish-256x400crop-05.py,.py,7022f5f5e1ec80b1545742e12c5643da7ede49c18947d7faabd776bb3b11943d,13456,13456,0,293,1,0,2,0,41,usable,
CV,severstal-steel-defect-detection,70pct,1702,CV/severstal-steel-defect-detection/rank1702_70pct/severstal-steel-batching-inputs-256x256.ipynb,.ipynb,baec7b7bf4cf1d4956cadd185b3b38d2da4e092befececf62aee578ceda0be55,22638,15778,1674,333,38,14,6,0,73,strong,
CV,state-farm-distracted-driver-detection,1st,0,CV/state-farm-distracted-driver-detection/rank0_1st/scripts-are-here.R,.R,480296625a1d4ffbffc6fbda755fb873151764cef3246c89b8e0b4186ae8af54,627,627,0,3,1,0,0,0,-20,reject,too_short
CV,state-farm-distracted-driver-detection,40pct,571,CV/state-farm-distracted-driver-detection/rank571_40pct/keras-sample.py,.py,20fd426e43f7b2f80745dfa4730d37ce913aa7b4e4152805aeda26c9fd6d0794,8886,8886,0,188,1,0,6,0,60,strong,
CV,state-farm-distracted-driver-detection,70pct,1002,CV/state-farm-distracted-driver-detection/rank1002_70pct/keras-sample.py,.py,9160fc0b45087e969a04c2a7c273c5ac01a62cce635487b71cf69b36d31ede80,10862,10862,0,249,1,0,7,0,60,strong,
CV,understanding_cloud_organization,10pct,130,CV/understanding_cloud_organization/rank130_10pct/ensemble.ipynb,.ipynb,4304f2a9533d2e4644d977fcf9a0b17b8d34c9aba60a8c588fdff2ae783e1ddb,10772,9261,41,183,8,1,5,0,67,strong,
CV,understanding_cloud_organization,1st,24,CV/understanding_cloud_organization/rank24_1st/blending-submissions-using-np-logical-or.ipynb,.ipynb,7dfdcedea1a3eecce5ebbce119d91ed97c862431f24909cb76cbf0ab20e253d2,9278,7542,272,183,6,3,4,0,66,strong,
CV,understanding_cloud_organization,40pct,605,CV/understanding_cloud_organization/rank605_40pct/cloud-segmentation.ipynb,.ipynb,e997e39140de393e54d8e62eeda13b79ba83bb76ee4500df45fcb44ceada4658,29347,25040,214,472,26,6,3,0,55,strong,
CV,understanding_cloud_organization,70pct,1022,CV/understanding_cloud_organization/rank1022_70pct/submitting-chris-unsupervised-masks-cv-0-60.ipynb,.ipynb,afd4fb7882f47d618f002a4d3dfc2291796f1654ffb8ce66c66ef08ab80763a5,20800,14671,3471,259,16,7,7,0,73,strong,
GenAI,llm-detect-ai-generated-text,10pct,494,GenAI/llm-detect-ai-generated-text/rank494_10pct/simulate-tttt.ipynb,.ipynb,1f99ac3bb588d4cf34fd8008726acde2ee53d9e77364ec2f7fea206616cc9e61,9852,4394,0,71,12,0,1,0,29,usable,
GenAI,llm-detect-ai-generated-text,1st,134,GenAI/llm-detect-ai-generated-text/rank134_1st/0-960-llm-daigt-sub-mod-weights.ipynb,.ipynb,160e9dc2db0ba14ee5f431d2cb322f5511e0c0e4d44ed87990176709a25fc7c2,11786,5331,162,113,14,2,8,0,78,strong,
GenAI,llm-detect-ai-generated-text,20pct,839,GenAI/llm-detect-ai-generated-text/rank839_20pct/ai-text-detection-competition.ipynb,.ipynb,b92d908f1a3e19e3c9dc9b66a8decdca9e9a008d30646488c2790d236ec026a6,24336,10948,8,108,33,1,9,0,73,strong,
GenAI,llm-detect-ai-generated-text,70pct,3044,GenAI/llm-detect-ai-generated-text/rank3044_70pct/random-forest-xgb-lightgbm-sgd.ipynb,.ipynb,29f4f12f61a40cee66857d83d974d0a397323362c3b581c6c51c690ae5269bae,9869,2768,115,39,18,1,6,2,41,usable,bad_keyword
GenAI,llm-prompt-recovery,10pct,204,GenAI/llm-prompt-recovery/rank204_10pct/style-prediction-w-mixtral-mistral7b-gem.ipynb,.ipynb,a5658ceac760aad2dc5e98d16cc539d4dd939b6e0dafb79e3f038a58d722cca1,15075,9345,0,129,11,1,2,0,43,usable,
GenAI,llm-prompt-recovery,1st,2,GenAI/llm-prompt-recovery/rank2_1st/4th-place.ipynb,.ipynb,362540ac0d218ad7697c28eedaf91258767bc4267abd3ff04bddf55673737b04,24064,16472,464,171,14,11,2,0,54,strong,
GenAI,llm-prompt-recovery,40pct,850,GenAI/llm-prompt-recovery/rank850_40pct/llm-prompt-recovery.ipynb,.ipynb,e7aeadf5ede1f6b1a530cf258b38f31a8a1928d35816d544c1780ae8d7f7854a,27638,9040,260,217,32,14,4,0,61,strong,
GenAI,stable-diffusion-image-to-prompts,10pct,122,GenAI/stable-diffusion-image-to-prompts/rank122_10pct/huggingface-accelerate-learn-beyond-laion2b-brute.ipynb,.ipynb,c09d08fc2e9b56648a9cd7c464dd0d73fb8adfb404bed01e53cdd7768ebac221,20861,12241,0,224,34,0,4,0,55,strong,
GenAI,stable-diffusion-image-to-prompts,1st,1,GenAI/stable-diffusion-image-to-prompts/rank1_1st/en-3models-vit-blip-convnext-notebook.ipynb,.ipynb,200d0cf7070569fb95e76006f271b59f9e0a8a1b654f19bc7cce6583f533d770,41817,31490,95,642,23,8,4,0,66,strong,
GenAI,stable-diffusion-image-to-prompts,20pct,253,GenAI/stable-diffusion-image-to-prompts/rank253_20pct/ensemble-clip-ofa-vit.ipynb,.ipynb,82f09a18b2851a40aeead6f2eea5b242e670f0c3586963eb1bcc0cc89d4ac522,44915,13319,12329,306,45,33,5,0,67,strong,
GenAI,stable-diffusion-image-to-prompts,40pct,516,GenAI/stable-diffusion-image-to-prompts/rank516_40pct/train.ipynb,.ipynb,9bfa8074ef5dcce3d9ec0a827308bd0ee6f17eb2a6e21ab31eb768c926bf1b59,15106,8917,10,214,16,1,4,1,49,strong,bad_keyword
Medical,aptos2019-blindness-detection,10pct,291,Medical/aptos2019-blindness-detection/rank291_10pct/fast-ai-starter-with-resnet-152.ipynb,.ipynb,4980ba0d9e35373333bb00ca8d4488270a1fb33f3bab2ef2d8c44d8b3582da4e,8356,4090,520,115,28,8,6,0,73,strong,
Medical,aptos2019-blindness-detection,20pct,581,Medical/aptos2019-blindness-detection/rank581_20pct/data-set-simple-visualization.ipynb,.ipynb,d4cb939b9b5567e78f5a9eeaef0f3f0f5c6129a1854468fd3ecea56ca06aca19,4506,1922,300,46,12,10,0,0,29,usable,
Medical,aptos2019-blindness-detection,40pct,1171,Medical/aptos2019-blindness-detection/rank1171_40pct/eye-inference-num-class-1-ver3.ipynb,.ipynb,089df25c2909c99c53494e392c214fab9e6cc12123724e84bd2fe7041e98899c,8118,5449,0,141,18,0,4,0,55,strong,
Medical,histopathologic-cancer-detection,10pct,110,Medical/histopathologic-cancer-detection/rank110_10pct/image-data-gen-test-2.ipynb,.ipynb,91df531edf503f0f2db77fa907e42c4f47409c0aaa082896c3d6e0bf8acf83e1,19882,10389,0,181,60,0,3,0,49,strong,
Medical,histopathologic-cancer-detection,1st,1,Medical/histopathologic-cancer-detection/rank1_1st/how-to-get-1-000-lb-1-000.ipynb,.ipynb,40d7ed9a96dadf6a758268bf38ef9bb0ff731ab9963f2d9a2710a95607c81561,11828,7249,1412,148,12,8,2,0,54,strong,
Medical,rsna-pneumonia-detection-challenge,1st,2,Medical/rsna-pneumonia-detection-challenge/rank2_1st/show-image-with-labels.ipynb,.ipynb,799ee62dfc5216dc5fb2b4d0c7282a5f03a861513c759729c610f5861ec9879d,2147,1084,0,23,4,0,0,0,12,weak,
Medical,rsna-pneumonia-detection-challenge,20pct,68,Medical/rsna-pneumonia-detection-challenge/rank68_20pct/keras-competition-metric-for-segmentation.ipynb,.ipynb,9bf47ea4f15165cf7d22bf9fa79650cd1d54285349d694f43da33498a1c17554,9235,5425,656,117,14,5,2,0,49,strong,
Medical,rsna-pneumonia-detection-challenge,40pct,134,Medical/rsna-pneumonia-detection-challenge/rank134_40pct/original-nih-labels-for-this-competition-dataset.ipynb,.ipynb,922643ec96676274adbe7aa4fdc621d0ad751e4cd992db91e3bb5ae1d7c22328,5727,989,2274,20,6,11,0,0,21,weak,
Medical,rsna-pneumonia-detection-challenge,70pct,243,Medical/rsna-pneumonia-detection-challenge/rank243_70pct/use-dicom-data-to-correct-your-predictions.ipynb,.ipynb,ad1575ae923023775900eb8edf00ad8b8b429982fe0adabd8d87f0a681288aa4,24289,14609,915,251,48,9,7,0,73,strong,
NLP,jigsaw-toxic-comment-classification-challenge,10pct,454,NLP/jigsaw-toxic-comment-classification-challenge/rank454_10pct/hashing-trick-xgboost.py,.py,0f74d11d243b3f3a8c956b5781f41d01021812e6b109404c6cdc530e1b1bed94,2717,2717,0,52,1,0,5,0,46,strong,
NLP,jigsaw-toxic-comment-classification-challenge,20pct,908,NLP/jigsaw-toxic-comment-classification-challenge/rank908_20pct/lessons-from-toxic-blending-is-the-new-sexy.ipynb,.ipynb,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5594,0,4564,0,0,5,2,0,-16,reject,too_short;thin_ensemble
NLP,nlp-getting-started,10pct,82,NLP/nlp-getting-started/rank82_10pct/nlp-disaster-tweets-roberta-5-fold-top-5.ipynb,.ipynb,8cb49ed18ebbd69e4ca3a197fd5c79170f53af46a212e079ebf6248d8385540c,33018,18535,6222,377,15,14,7,0,73,strong,
NLP,nlp-getting-started,1st,6,NLP/nlp-getting-started/rank6_1st/disaster-tweets-classification-with-distilbert.ipynb,.ipynb,a3f9e35792bdfef0fd50fdfde6e58dc910ab21d05ba12ac9303aef20693dea86,1848,580,0,11,1,0,3,0,1,reject,too_short
NLP,nlp-getting-started,20pct,174,NLP/nlp-getting-started/rank174_20pct/83-6-accuracy-bert-nlp.ipynb,.ipynb,1e921cec36967be8b198a8a35136f87740ffebdd0cba2d0892a74d6266ae7ee8,8830,2855,3583,74,8,7,4,0,53,strong,
NLP,nlp-getting-started,20pct,170,NLP/nlp-getting-started/rank170_20pct/83-6-accuracy-bert-nlp.ipynb,.ipynb,1e921cec36967be8b198a8a35136f87740ffebdd0cba2d0892a74d6266ae7ee8,8830,2855,3583,74,8,7,4,0,53,strong,
NLP,nlp-getting-started,40pct,325,NLP/nlp-getting-started/rank325_40pct/disaster-tweets-tf-idf-vs-bilstm-vs-bert.ipynb,.ipynb,cb65b622b7b1e516b920c3c62ff429760666d280774f6e375c6a501640916d3f,101570,37627,13477,727,14,12,10,0,73,strong,
NLP,nlp-getting-started,40pct,348,NLP/nlp-getting-started/rank348_40pct/tweet-classification-fine-tuning-bert-pytorch.ipynb,.ipynb,6e98325aab561ed98b8f4659d30d70fd356396ddfcd400dfacd488f90979f54f,11224,4298,201,120,15,7,4,0,61,strong,
NLP,nlp-getting-started,70pct,586,NLP/nlp-getting-started/rank586_70pct/notebook76d50be751.ipynb,.ipynb,6a287c9746ea533aee103931746c039ae3235ee530300fc357edf42124ba0462,5097,3560,0,40,2,0,3,1,21,weak,bad_keyword
NLP,nlp-getting-started,70pct,566,NLP/nlp-getting-started/rank566_70pct/notebook76d50be751.ipynb,.ipynb,6a287c9746ea533aee103931746c039ae3235ee530300fc357edf42124ba0462,5097,3560,0,40,2,0,3,1,21,weak,bad_keyword
RL,connectx,10pct,74,RL/connectx/rank74_10pct/agent-q-learning.ipynb,.ipynb,a6ddd97821a537aa63b9573b9d76114b914ed87977ddd9c73a3acb99b8775668,19774,15887,0,349,9,0,6,0,67,strong,
RL,connectx,10pct,75,RL/connectx/rank75_10pct/agent-q-learning.ipynb,.ipynb,a6ddd97821a537aa63b9573b9d76114b914ed87977ddd9c73a3acb99b8775668,19774,15887,0,349,9,0,6,0,67,strong,
RL,connectx,20pct,81,RL/connectx/rank81_20pct/agent-one-line-of-code.ipynb,.ipynb,692475ff02e3cd16abb99b02435a3ec4d4012f0549dd444d5b8507021138f1e9,2808,836,0,16,4,0,0,0,7,reject,
RL,connectx,20pct,85,RL/connectx/rank85_20pct/agent-one-line-of-code.ipynb,.ipynb,692475ff02e3cd16abb99b02435a3ec4d4012f0549dd444d5b8507021138f1e9,2808,836,0,16,4,0,0,0,7,reject,
RL,connectx,40pct,173,RL/connectx/rank173_40pct/v1-cell-swarm-starter.ipynb,.ipynb,71f08266cbb9c5dc2130e191d710f300ee17e5251f9df306988afb30f23ecc75,24582,21150,0,425,5,0,1,0,29,usable,
RL,connectx,70pct,348,RL/connectx/rank348_70pct/simple-minimax-alpha-beta-move-ordering-connectx.ipynb,.ipynb,703957b32aca3c4494704e47611a546446f946d8eb9fcdbe058aa84fc924a0e9,6606,5420,0,101,1,0,1,0,29,usable,
RL,connectx,70pct,346,RL/connectx/rank346_70pct/simple-minimax-alpha-beta-move-ordering-connectx.ipynb,.ipynb,703957b32aca3c4494704e47611a546446f946d8eb9fcdbe058aa84fc924a0e9,6606,5420,0,101,1,0,1,0,29,usable,
RL,hungry-geese,10pct,100,RL/hungry-geese/rank100_10pct/hungry-geese-center-focused-greedy-goose.ipynb,.ipynb,1e6e5fdaba004702dbca8b0b453d3e96c141f5f9b1c0639219c5514ee17c0bda,8696,7475,0,187,4,0,0,0,23,weak,
RL,hungry-geese,1st,3,RL/hungry-geese/rank3_1st/let-s-create-your-agent-by-supervised-learning.ipynb,.ipynb,0c75763320276f5f3faa38528c7b522b6eff8c34c0369450e35b5f6fb5fbf79a,22126,17939,1042,364,14,10,6,0,78,strong,
RL,hungry-geese,20pct,177,RL/hungry-geese/rank177_20pct/circle-geese.ipynb,.ipynb,96c62d02d9bea509a9fd8908b28271af41eeeb1238b24ec7b9afbedd40a2a8d3,2179,1353,99,23,2,1,0,1,1,reject,bad_keyword
RL,hungry-geese,40pct,348,RL/hungry-geese/rank348_40pct/hungry-geese-beginners-testing-not-done-abandone.ipynb,.ipynb,f13a78af1f9f9b620d87e331b2c42d3e09000c2bdc23f5f8b20086c1ed389539,3459,1633,788,28,4,3,0,0,13,weak,
RL,hungry-geese,70pct,612,RL/hungry-geese/rank612_70pct/what-if-avoiding-re-coding-the-game-s-rules.ipynb,.ipynb,c7458840af3fd9db84a845f0624686d61f04d31ce498c9f9d1609d52ab4ea61a,3624,2633,0,51,5,0,0,1,3,reject,bad_keyword
RecSys,predict-west-nile-virus,10pct,127,RecSys/predict-west-nile-virus/rank127_10pct/glm-with-poisson-family-lb-0-74826.R,.R,2555b12be0ae953de879d579b0dc7efd8a2561cc7ba7bd7d987a57f0a004a870,8114,7932,0,144,1,0,1,0,30,usable,
RecSys,predict-west-nile-virus,1st,4,RecSys/predict-west-nile-virus/rank4_1st/simple-lasagne-nnb.py,.py,168fe13585e1c251b42196d6c7d15f026e44bee5754a2f22cb08d9271953caec,8125,8125,0,195,1,0,5,0,59,strong,
RecSys,predict-west-nile-virus,20pct,256,RecSys/predict-west-nile-virus/rank256_20pct/trying-out-kaggle-scripts.py,.py,c5b88f44c0a78becf20da5caa8a52ae97231e59cbb51b37036d475c4e12a8294,8130,8130,0,195,1,0,4,0,48,strong,
RecSys,talkingdata-adtracking-fraud-detection,10pct,320,RecSys/talkingdata-adtracking-fraud-detection/rank320_10pct/deep-learning-talkingdata-fork.py,.py,14cffe4a82ef4df5a28c0562f63be433651b83016b57f6c6c18bd4dc31eb798a,8307,8307,0,147,1,0,8,0,60,strong,
RecSys,talkingdata-adtracking-fraud-detection,20pct,785,RecSys/talkingdata-adtracking-fraud-detection/rank785_20pct/talk-kaggle-runnable-lgb.py,.py,1599d0ddf03a3ec017d0f5256994889cb42205fddb63365ddc5eff9bcead9183,13422,13422,0,269,1,0,6,0,60,strong,
RecSys,talkingdata-adtracking-fraud-detection,70pct,2893,RecSys/talkingdata-adtracking-fraud-detection/rank2893_70pct/talkingdata-deeplearning.ipynb,.ipynb,15e64955c441a3779677a09d168f76793971b9968ce8c3844614c3bfc246f46a,1312,458,0,11,3,0,0,0,-22,reject,too_short
Tabular,bike-sharing-demand,1st,3,Tabular/bike-sharing-demand/rank3_1st/test1.R,.R,5ff0a497ab687de1e0a28ce78169bf8f8a657e2819ed98cb1d542257a102594b,1490,1489,0,26,1,0,0,0,9,reject,
Tabular,bike-sharing-demand,70pct,2271,Tabular/bike-sharing-demand/rank2271_70pct/random-forest-benchmark.R,.R,615723b40d9195ee0d2dac5ebf8e39a951d3271024a5359056e0dffdac5fcbe8,3090,3090,0,52,1,0,4,1,28,usable,bad_keyword
Tabular,forest-cover-type-prediction,10pct,169,Tabular/forest-cover-type-prediction/rank169_10pct/xgboost.py,.py,7951a02a14757881da67073830739a6269ae0dbae250fb0e335bd77a22fa36e0,2206,2206,0,45,1,0,6,0,52,strong,
Tabular,home-credit-default-risk,10pct,719,Tabular/home-credit-default-risk/rank719_10pct/tidy-xgb-all-tables-0-796.R,.R,26468fc2db456f1e2a4accbc8bde00ba88b91522bb3ab1347c3560c3a55fc8e4,6185,6185,0,138,1,0,3,0,42,usable,
Tabular,home-credit-default-risk,1st,4,Tabular/home-credit-default-risk/rank4_1st/explaining-model-s-predictions.ipynb,.ipynb,fc14001cd8a0c5337cdeb962619b328cdf31ed936640a679ed8029cf530958e5,27046,19327,4207,329,7,13,7,0,78,strong,
Tabular,home-credit-default-risk,20pct,1436,Tabular/home-credit-default-risk/rank1436_20pct/more-features-and-better-model.ipynb,.ipynb,b54c4b7d03b3af5d7344101cd6508faf94ee9743e4379b657153048076685bc6,44487,41720,0,276,7,0,9,0,67,strong,
Tabular,house-prices-advanced-regression-techniques,10pct,549,Tabular/house-prices-advanced-regression-techniques/rank549_10pct/house-prices-xgb-cat-lgb-etc-0-12111.ipynb,.ipynb,912b59ae5aa3413ba1b8c99b911495984cc4b73c7eaa85bec50ccc2a9252eddc,32300,17245,10236,325,16,19,8,0,73,strong,
Tabular,house-prices-advanced-regression-techniques,10pct,550,Tabular/house-prices-advanced-regression-techniques/rank550_10pct/house-prices-xgb-cat-lgb-etc-0-12111.ipynb,.ipynb,912b59ae5aa3413ba1b8c99b911495984cc4b73c7eaa85bec50ccc2a9252eddc,32300,17245,10236,325,16,19,8,0,73,strong,
Tabular,house-prices-advanced-regression-techniques,10pct,535,Tabular/house-prices-advanced-regression-techniques/rank535_10pct/house-prices-xgb-cat-lgb-etc-0-12111.ipynb,.ipynb,912b59ae5aa3413ba1b8c99b911495984cc4b73c7eaa85bec50ccc2a9252eddc,32300,17245,10236,325,16,19,8,0,73,strong,
Tabular,house-prices-advanced-regression-techniques,1st,19,Tabular/house-prices-advanced-regression-techniques/rank19_1st/house-prices-gbm-pipeline-with-rounded-output.ipynb,.ipynb,da7fe961a7364a312ff784034437a45bb27b0130a9a561e81e2ac73b991132f5,2470,1030,0,28,1,0,2,0,24,weak,
Tabular,house-prices-advanced-regression-techniques,1st,18,Tabular/house-prices-advanced-regression-techniques/rank18_1st/house-prices-gbm-pipeline-with-rounded-output.ipynb,.ipynb,da7fe961a7364a312ff784034437a45bb27b0130a9a561e81e2ac73b991132f5,2470,1030,0,28,1,0,2,0,24,weak,
Tabular,house-prices-advanced-regression-techniques,20pct,1038,Tabular/house-prices-advanced-regression-techniques/rank1038_20pct/house-price-prediction-eda-feature-engineering.ipynb,.ipynb,306d936eaf41b6187cba26dfc2bc55d56683f074ac3fe9fe25b223375edb1a5c,14754,7935,1481,158,10,9,8,0,73,strong,
Tabular,house-prices-advanced-regression-techniques,20pct,1021,Tabular/house-prices-advanced-regression-techniques/rank1021_20pct/house-price-prediction-eda-feature-engineering.ipynb,.ipynb,306d936eaf41b6187cba26dfc2bc55d56683f074ac3fe9fe25b223375edb1a5c,14754,7935,1481,158,10,9,8,0,73,strong,
Tabular,house-prices-advanced-regression-techniques,40pct,2045,Tabular/house-prices-advanced-regression-techniques/rank2045_40pct/house-price-prediction.ipynb,.ipynb,d779a12e03d6b435fe384b39e0644957ca69e5d2764b480853d66c4d33e4e1dd,35070,15140,639,303,49,3,8,1,61,strong,bad_keyword
Tabular,house-prices-advanced-regression-techniques,40pct,2048,Tabular/house-prices-advanced-regression-techniques/rank2048_40pct/house-price-prediction.ipynb,.ipynb,d779a12e03d6b435fe384b39e0644957ca69e5d2764b480853d66c4d33e4e1dd,35070,15140,639,303,49,3,8,1,61,strong,bad_keyword
Tabular,house-prices-advanced-regression-techniques,40pct,2064,Tabular/house-prices-advanced-regression-techniques/rank2064_40pct/house-price-prediction.ipynb,.ipynb,d779a12e03d6b435fe384b39e0644957ca69e5d2764b480853d66c4d33e4e1dd,35070,15140,639,303,49,3,8,1,61,strong,bad_keyword
Tabular,house-prices-advanced-regression-techniques,40pct,2149,Tabular/house-prices-advanced-regression-techniques/rank2149_40pct/house-prices.ipynb,.ipynb,4d559d9c2423bd678ac2f3e86063ff0ee4cb3c9ba9520b691eb742d50122707e,5528,3783,0,62,3,0,5,1,33,usable,bad_keyword
Tabular,house-prices-advanced-regression-techniques,70pct,3692,Tabular/house-prices-advanced-regression-techniques/rank3692_70pct/house-price-prediction.ipynb,.ipynb,21d3774a71fd45cc34d3c7c0d7c706c44c4cdc32da1268c98ef24a6b44f2ca5b,13361,3544,998,76,22,2,6,1,53,strong,bad_keyword
Tabular,house-prices-advanced-regression-techniques,70pct,3722,Tabular/house-prices-advanced-regression-techniques/rank3722_70pct/house-price-prediction.ipynb,.ipynb,21d3774a71fd45cc34d3c7c0d7c706c44c4cdc32da1268c98ef24a6b44f2ca5b,13361,3544,998,76,22,2,6,1,53,strong,bad_keyword
Tabular,house-prices-advanced-regression-techniques,70pct,3719,Tabular/house-prices-advanced-regression-techniques/rank3719_70pct/house-price-prediction.ipynb,.ipynb,21d3774a71fd45cc34d3c7c0d7c706c44c4cdc32da1268c98ef24a6b44f2ca5b,13361,3544,998,76,22,2,6,1,53,strong,bad_keyword
Tabular,house-prices-advanced-regression-techniques,70pct,3752,Tabular/house-prices-advanced-regression-techniques/rank3752_70pct/house-price-prediction.ipynb,.ipynb,21d3774a71fd45cc34d3c7c0d7c706c44c4cdc32da1268c98ef24a6b44f2ca5b,13361,3544,998,76,22,2,6,1,53,strong,bad_keyword
Tabular,otto-group-product-classification-challenge,1st,2,Tabular/otto-group-product-classification-challenge/rank2_1st/beating-the-benchmark-v2-0.py,.py,588358af5b6cfa12f505cfed82a84490bee743d5825d265e4fab91242aa45885,987,987,0,22,1,0,4,0,33,usable,
Tabular,porto-seguro-safe-driver-prediction,10pct,2,Tabular/porto-seguro-safe-driver-prediction/rank2_10pct/xgb-fe-0.ipynb,.ipynb,7de2f3d2006201ff5e528da7d41200655d39491db85d7ba2adc20719262d5971,13431,4712,0,95,22,0,5,1,49,strong,bad_keyword
Tabular,porto-seguro-safe-driver-prediction,1st,2,Tabular/porto-seguro-safe-driver-prediction/rank2_1st/xgb-fe-0.ipynb,.ipynb,7de2f3d2006201ff5e528da7d41200655d39491db85d7ba2adc20719262d5971,13431,4712,0,95,22,0,5,1,54,strong,bad_keyword
Tabular,porto-seguro-safe-driver-prediction,40pct,2059,Tabular/porto-seguro-safe-driver-prediction/rank2059_40pct/notebook.ipynb,.ipynb,10e3747fda3691e11003d5e48809ea0f7c6bfffa4ae743d84cabbad5c05da7c1,21010,9492,88,223,41,1,9,0,73,strong,
Tabular,prudential-life-insurance-assessment,10pct,256,Tabular/prudential-life-insurance-assessment/rank256_10pct/totototo.py,.py,6a33b1e894561d74544efd2eb1922c481b582f9e1aaf25022a76fb0b17589eb2,297,297,0,10,1,0,1,0,-19,reject,too_short
